화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
굿모닝빌오피스텔 개방화장실,N,0,연중무휴,시흥시청,3,0,,,3,개방화장실,3,126.7487205,0,경기도 시흥시 정왕대로 342,0,0,37.33878853,0,,2018-08-20
옥구지구대,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.7287291,0,경기도 시흥시 정왕대로118번길 1,0,0,37.35117495,0,,2018-08-20
정왕보건지소,N,0,(평일)09:00~18:00,시흥시청,4,0,,,9,공중화장실,6,126.7401529,0,경기도 시흥시 정왕대로233번길 19,0,0,37.34672069,0,,2018-08-20
여성비전센터,N,0,(평일)06:00~22:00+(토요일) 06:00~18:00,시흥시청,12,0,,,25,공중화장실,21,126.7404651,0,경기도 시흥시 정왕대로233번길 21,0,0,37.34783504,0,,2018-08-20
평안공원,N,0,연중무휴,시흥시청,2,0,,,3,공중화장실,3,126.7419022,0,경기도 시흥시 정왕대로298번길 36,0,0,37.33946223,0,,2018-08-20
정왕3동주민센터,N,0,(평일)09:00~18:00,시흥시청,9,0,,,9,공중화장실,6,126.7264484,0,경기도 시흥시 정왕대로53번길 38,0,0,37.35761023,0,,2018-08-20
소망공원,N,0,연중무휴,시흥시청,3,0,,,3,공중화장실,2,126.7256334,0,경기도 시흥시 정왕동 1368,0,0,37.33343919,0,,2018-08-20
함줄공원,N,0,연중무휴,시흥시청,2,0,,,5,공중화장실,4,126.7358282,0,경기도 시흥시 정왕동 1774-1,0,0,37.36859882,0,,2018-08-20
젊음과패기공원,N,0,연중무휴,시흥시청,2,0,,,2,공중화장실,3,126.7400929,0,경기도 시흥시 정왕동 1800-5,0,0,37.34841449,0,,2018-08-20
정왕중앙공원,N,0,연중무휴,시흥시청,2,0,,,3,공중화장실,3,126.7354182,0,경기도 시흥시 정왕동 1845-1,0,0,37.34904205,0,,2018-08-20
서촌공원,N,0,연중무휴,시흥시청,2,0,,,2,공중화장실,3,126.7266799,0,경기도 시흥시 정왕동 1848-2,0,0,37.34856086,0,,2018-08-20
송운공원,N,0,연중무휴,시흥시청,2,0,,,2,공중화장실,3,126.7326539,0,경기도 시흥시 정왕동 1873-1,0,0,37.35837407,0,,2018-08-20
중앙완충녹지7-3BL,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.7250442,0,경기도 시흥시 정왕동 1953,0,0,37.34772452,0,,2018-08-20
중앙완충녹지 7-5BL,N,0,연중무휴,시흥시청,1,0,,,2,공중화장실,2,126.735459,0,경기도 시흥시 정왕동 1961,0,0,37.34129331,0,,2018-08-20
중앙완충녹지 7-6BL,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.741109,0,경기도 시흥시 정왕동 1964,0,0,37.33780261,0,,2018-08-20
정왕재래시장 개방화장실,N,0,연중무휴,시흥시청,3,0,,,4,개방화장실,4,126.7485707,0,경기도 시흥시 정왕시장길 51,0,0,37.34580541,0,,2018-08-20
정왕전통시장 B동 개방화장실,N,0,연중무휴,시흥시청,2,0,,,2,개방화장실,3,126.7489598,0,경기도 시흥시 정왕시장길 52,0,0,37.34556476,0,,2018-08-20
시화대성주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.7377961,0,경기도 시흥시 정왕신길로 180,0,0,37.35071244,0,,2018-08-20
시흥소방서,N,0,연중무휴,시흥시청,3,0,,,2,공중화장실,3,126.7395337,0,경기도 시흥시 정왕신길로 206,0,0,37.34956297,0,,2018-08-20
정왕지구대,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.7410397,0,경기도 시흥시 정왕신길로 216,0,0,37.34878058,0,,2018-08-20
도시공간주유소,N,0,06:00~23:00,시흥시청,1,0,,,2,공중화장실,2,126.7295061,0,경기도 시흥시 정왕신길로49번길 53,0,0,37.36236025,0,,2018-08-20
군서공원,N,0,연중무휴,시흥시청,2,0,,,2,공중화장실,3,126.7453803,0,경기도 시흥시 정왕천로369번길 46,0,0,37.34412628,0,,2018-08-20
생금집,N,0,10:00~17:00,시흥시청,1,0,,,2,공중화장실,1,126.7582747,0,경기도 시흥시 죽율로 45-32,0,0,37.35059387,0,,2018-08-20
청진빌딩 개방화장실,N,0,연중무휴,시흥시청,3,0,,,3,개방화장실,4,126.7348063,0,경기도 시흥시 중심상가1길 14,0,0,37.34332456,0,,2018-08-20
로즈프라자 개방화장실,N,0,연중무휴,시흥시청,2,0,,,2,개방화장실,2,126.737568,0,경기도 시흥시 중심상가2길 22,0,0,37.34490211,0,,2018-08-20
시화파출소,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.7436783,0,경기도 시흥시 중심상가로 271,0,0,37.34017971,0,,2018-08-20
산돌교회 개방화장실,N,0,연중무휴,시흥시청,1,0,,,2,개방화장실,2,126.7519177,0,경기도 시흥시 큰솔로 21,0,0,37.33973595,0,,2018-08-20
