화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
청평그린충전소,N,0,09:00~21:00,청평그린충전소,2,0,,경기도 가평군 청평면 대성리 56-1번지,2,개방화장실,1,127.4017287,0,경기도 가평군 청평면 경춘로 524,0,0,37.71799398,0,,2018-08-07
대성리역,N,1,09:00~21:00,대성리역,4,0,,경기도 가평군 청평면 대성리 393-3번지,5,공중화장실,5,127.3789282,0,경기도 가평군 청평면 경춘로 88,0,0,37.68363431,1,,2018-08-07
대성2지구 자전거도로 화장실,N,0,00:00~24:00,가평군청 안전재난과,1,0,,경기도 가평군 청평면 대성리 387-1,3,공중화장실,2,127.3832862,0,경기도 가평군 청평면 대성리 387-1,0,0,37.69122444,0,,2018-08-07
상천역,N,0,09:00~21:00,상천역,4,0,,경기도 가평군 청평면 상천리 1260-1번지,10,공중화장실,6,127.4544999,0,경기도 가평군 청평면 상천역로 29,0,0,37.76993255,0,,2018-08-07
청평시장 화장실,N,0,00:00~24:00,가평군청 환경과,4,0,,경기도 가평군 청평면 청평리 81-2번지,5,개방화장실,3,127.4158628,0,경기도 가평군 청평면 시장중앙로 19,0,0,37.73474809,0,,2018-08-07
청평문화의집,N,1,09:00~21:00,청평면 사무소 총무팀,3,0,,경기도 가평군 청평면 청평리 333-1번지,5,공중화장실,3,127.4240846,0,경기도 가평군 청평면 은고개로 19,0,0,37.74024182,1,,2018-08-07
청평면 119지역대,Y,0,09:00~21:00,가평소방서,1,0,,경기도 가평군 청평면 청평리 333-1번지,0,공중화장실,1,127.4240846,0,경기도 가평군 청평면 은고개로 19,0,0,37.74024182,0,,2018-08-07
청평우체국,Y,0,09:00~21:00,청평우체국,1,0,,경기도 가평군 청평면 청평리 397-5번지,0,공중화장실,2,127.4208107,0,경기도 가평군 청평면 잠곡로 19,0,0,37.73707312,0,,2018-08-07
청평버스터미널,N,1,09:00~21:00,청평버스터미널,4,0,,경기도 가평군 청평면 청평리 432-48번지,5,개방화장실,5,127.4207027,0,경기도 가평군 청평면 청평중앙로 54,0,0,37.73804653,1,,2018-08-07
가평소방서,N,1,09:00~21:00,가평소방서,3,0,,경기도 가평군 가평읍 대곡리 213-5번지,3,공중화장실,3,127.5166586,0,경기도 가평군 가평읍 가화로 36,0,0,37.82353605,0,,2018-08-07
가평주유소,N,0,09:00~21:00,가평주유소,1,0,,경기도 가평군 가평읍 대곡리 219-5번지,2,공중화장실,2,127.5149409,0,경기도 가평군 가평읍 가화로 41-16,0,0,37.82314712,0,,2018-08-07
가평경찰서,N,0,09:00~21:00,가평경찰서 경무과,2,0,,경기도 가평군 가평읍 대곡리 229-1번지,2,공중화장실,1,127.5149676,0,경기도 가평군 가평읍 가화로 61,0,0,37.82537231,0,,2018-08-07
무지개 주유소,N,0,09:00~21:00,무지개 주유소,1,0,,경기도 가평군 가평읍 상색리 314-2번지,2,공중화장실,2,127.4784436,0,경기도 가평군 가평읍 경춘로 1741,0,0,37.79587558,0,,2018-08-07
가평군농협주유소,N,0,09:00~21:00,가평군농협주유소,1,0,,경기도 가평군 가평읍 상색리 271-3번지,1,공중화장실,1,127.4818886,0,경기도 가평군 가평읍 경춘로 1785,0,0,37.79837524,0,,2018-08-07
이화주유소,N,0,09:00~21:00,이화주유소,1,0,,경기도 가평군 가평읍 하색리 290-1번지,1,개방화장실,1,127.4991317,0,경기도 가평군 가평읍 경춘로 2021,0,0,37.81309728,0,,2018-08-07
개곡리 보건진료소,Y,0,09:00~21:00,가평군 보건소,1,0,,경기도 가평군 가평읍 개곡리 705번지,1,공중화장실,0,127.5376575,0,경기도 가평군 가평읍 당목가일길 211-80,0,0,37.87048015,0,,2018-08-07
가평군종합운동장,N,0,09:00~21:00,가평군 시설관리공단,3,0,,경기도 가평군 가평읍 대곡리 316번지,4,공중화장실,6,127.507218,0,경기도 가평군 가평읍 문화로 131,0,0,37.8248742,0,,2018-08-07
