화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
황산시장화장실,N,0,연중무휴,합천군(환경위생과),1,0,,,1,공중화장실,2,128.1383,0,경상남도 합천군 가야면 가야시장로 61-4,0,0,35.76107,0,Jan-94,2018-02-21
해인파출소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천경찰서,1,0,,,1,공중화장실,0,128.0975,0,경상남도 합천군 가야면 해인사길 122,0,0,35.80226,0,Jan-95,2018-02-21
해인사우체국,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,해인사우체국,1,0,,,0,공중화장실,0,128.0975,0,경상남도 합천군 가야면 해인사길 122,0,0,35.80226,0,Jan-01,2018-02-21
해인사소방서,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천소방서,2,0,,,0,공중화장실,0,128.0975,0,경상남도 합천군 가야면 해인사길 122,0,0,35.80226,0,Jan-00,2018-02-21
해인사자비원,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,해인사자비원,0,0,,,42,공중화장실,0,128.0882,0,경상남도 합천군 가야면 치인5길 118,0,0,35.80654,0,Jan-02,2018-02-21
숭산보건소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소,1,0,,,1,공중화장실,0,128.104,0,경상남도 합천군 가야면 매안대전길 27,0,0,35.72829,0,Jan-02,2018-02-21
석계계곡,N,0,연중무휴,합천군(가야면),0,0,,,0,공중화장실,1,128.104,0,경상남도 합천군 가야면 죽전1길 91,0,0,35.4699,0,Oct-02,2018-02-21
가야우체국,Y,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,가야우체국,0,0,,,1,공중화장실,0,128.1394,0,경상남도 합천군 가야면 가야시장로 86-1,0,0,35.76288,0,Jan-01,2018-02-21
가야보건지소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소(가야보건지소),2,0,,,2,공중화장실,2,128.1389,0,경상남도 합천군 가야면 황산3길 8-15,0,0,35.76396,0,Jan-04,2018-02-21
가야면사무소 화장실,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(가야면),3,0,,,3,공중화장실,2,128.1392,0,경상남도 합천군 가야면 가야시장로 92,0,0,35.76389,0,Jan-87,2018-02-21
가야119지역대,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천소방서,1,0,,,0,공중화장실,0,128.1394,0,경상남도 합천군 가야면 가야시장로 94,0,0,35.76379,0,Jan-01,2018-02-21
금성산두부촌,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(대병면),1,0,,,1,공중화장실,1,128.0255,0,경상남도 합천군 대병면 합천호수로 75,0,0,35.52528,0,Nov-94,2018-02-21
하금계곡 화장실,N,0,연중무휴,합천군(대병면),1,0,,경상남도 합천군 대병면 하금리 산109,1,공중화장실,0,127.9769,0,,0,0,35.50729,0,Jan-97,2018-02-21
삼양주유소 화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(대병면),1,0,,,1,공중화장실,1,128.0153,0,경상남도 합천군 대병면 서부로 2030,0,0,35.52426,0,Oct-04,2018-02-21
대병시장 화장실,N,0,연중무휴,합천군(대병면),3,0,,,3,공중화장실,3,128.0153,0,경상남도 합천군 대병면 신성동길 6-14,0,0,35.52363,0,Jun-04,2018-02-21
대병면사무소 화장실,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(대병면),2,1,,,3,공중화장실,2,128.0142,0,경상남도 합천군 대병면 신성동길 23,0,0,35.52203,1,Apr-86,2018-02-21
영전수변화장실,N,2,연중무휴,합천군(환경위생과),1,0,,,3,공중화장실,2,128.2167,0,경상남도 합천군 율곡면 영전3길 2,0,0,35.57535,0,Sep-08,2018-02-21
내천화장실,N,0,연중무휴,합천군(환경위생과),2,0,,,3,공중화장실,2,128.2386,0,경상남도 합천군 율곡면 황강옥전로 634,0,0,35.61272,0,Jan-94,2018-02-21
합천호농업협동조합주유소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천호농협,2,0,,,2,공중화장실,2,128.0185,0,경상남도 합천군 용주면 고품용덕길5,0,0,35.5239,0,Aug-14,2018-02-21
합천탑주유소화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천탑주유소,1,0,,,2,공중화장실,1,128.0832,0,경상남도 합천군 용주면 합천호수로855,0,0,35.54832,0,Jan-92,2018-02-21
황계폭포화장실2,Y,0,연중무휴,합천군(용주면),0,0,,경상남도 합천군 용주면 황계리 산 90,1,공중화장실,0,128.0726,0,,0,0,35.51295,0,Jan-98,2018-02-21
황계폭포화장실1,N,0,연중무휴,합천군(용주면),2,0,,경상남도 합천군 용주면 황계리 산 90,2,공중화장실,2,128.0726,0,,0,0,35.51295,0,Jan-98,2018-02-21
반도정개방화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,반도정,3,0,,,4,공중화장실,3,128.082,0,경상남도 합천군 용주면 합천호수로842,0,0,35.54759,0,Jan-92,2018-02-21
용주면생활체육공원화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(용주면),4,0,,,2,공중화장실,2,128.0926,0,경상남도 합천군 용주면 둔덕길 250,0,0,35.53104,0,Jan-98,2018-02-21
용주면사무소화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(용주면),2,0,,,2,공중화장실,3,128.1136,0,경상남도 합천군 용주면 황계폭포로1154,0,0,35.54166,0,Jan-90,2018-02-21
용문정화장실2,N,0,연중무휴,합천군(용주면),1,0,,,2,공중화장실,1,128.0614,0,경상남도 합천군 용주면 합천호수로614,0,0,35.54138,0,Jan-90,2018-02-21
용문정화장실1,N,0,연중무휴,합천군(용주면),3,0,,,5,공중화장실,5,128.0621,0,경상남도 합천군 용주면 합천호수로629,0,0,35.54256,0,Jun-94,2018-02-21
주자휴게소 화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,주자휴게소,5,0,,,10,공중화장실,6,128.1445,0,경상남도 합천군 쌍백면 쌍백중앙로 162-8,0,0,35.45074,0,Jan-03,2018-02-21
쌍백주유소 화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,쌍백주유소,1,0,,,2,공중화장실,1,128.1444,0,경상남도 합천군 쌍백면 쌍백중앙로 162-10,0,0,35.45151,0,Sep-11,2018-02-21
우성주유소 화장실,Y,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,우성주유소,1,0,,,2,공중화장실,3,128.143,0,경상남도 합천군 쌍백면 합천대로 1108,0,0,35.43249,0,Feb-91,2018-02-21
새남부농협쌍백주유소 화장실,Y,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,새남부농협,0,0,,,1,공중화장실,1,128.1463,0,경상남도 합천군 쌍백면 청정로 3,0,0,35.44197,0,Nov-09,2018-02-21
새남부농협쌍백지점 화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,새남부농협,2,0,,,2,공중화장실,4,128.1463,0,경상남도 합천군 쌍백면 청정로 3,0,0,35.44197,0,Dec-88,2018-02-21
쌍백우체국 화장실,Y,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,쌍백우체국,1,0,,,1,공중화장실,0,128.145,0,경상남도 합천군 쌍백면 쌍백중앙로 51,0,0,35.44172,0,Sep-93,2018-02-21
쌍백면노인회분회 화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,쌍백면노인회분회,1,0,,,1,공중화장실,1,128.1447,0,경상남도 합천군 쌍백면 쌍백중앙로 40,0,0,35.44071,0,May-95,2018-02-21
쌍백보건지소 화장실,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소(쌍백보건지소),1,0,,,1,공중화장실,2,128.146,0,경상남도 합천군 쌍백면 평구3길 14,0,0,35.44071,1,Oct-15,2018-02-21
쌍백면사무소 화장실,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(쌍백면),2,0,,,4,공중화장실,2,128.1453,0,경상남도 합천군 쌍백면 쌍백중앙로 63,0,0,35.44249,1,Nov-90,2018-02-21
산성산 간이화장실,N,0,연중무휴,합천군(쌍백면),1,0,,,3,공중화장실,2,128.173,0,경상남도 합천군 쌍백면 동리외초길 393-8,0,0,35.41175,0,Jan-07,2018-02-21
모산재식당,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,모산재식당,1,0,,,2,공중화장실,1,128.0027,0,경상남도 합천군 가회면 황매산로 624,0,0,35.47098,0,Jan-03,2018-02-21
황매산만남의광장화장실,N,0,연중무휴,황매산만남의광장,3,0,,,4,공중화장실,4,128.0237,0,경상남도 합천군 가회면 황매산로 607,0,0,35.48576,0,Dec-08,2018-02-21
황매1교화장실,N,0,연중무휴,합천군(환경위생과),1,0,055-930-3312,,2,공중화장실,1,127.9949,0,경상남도 합천군 가회면 황매산공원길 142,0,0,35.48887,0,Jul-04,2018-02-21
영암사화장실,N,1,연중무휴,합천군(환경위생과),2,1,055-930-3312,,3,공중화장실,2,128.0032,0,경상남도 합천군 가회면 황매산로 637-58,0,0,35.47395,1,Jun-04,2018-02-21
복암주차장화장실,N,0,연중무휴,합천군(환경위생과),4,0,055-930-3312,,5,공중화장실,7,128.0018,0,경상남도 합천군 가회면 황매산로 607,0,0,35.46962,0,Jun-96,2018-02-21
덕만주차장화장실,N,0,연중무휴,합천군(환경위생과),3,1,055-930-3312,,3,공중화장실,4,128.0018,0,경상남도 합천군 가회면 황매산로 843,0,0,35.46993,1,Jun-98,2018-02-21
가회주유소,Y,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,가회주유소,0,0,,,1,공중화장실,1,128.0442,0,경상남도 합천군 가회면 신등가회로 1033-33,0,0,35.44504,0,Jan-92,2018-02-21
가회면사무소화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(가회면),2,0,,,2,공중화장실,2,128.0335,0,경상남도 합천군 가회면 황매산로 52,0,0,35.43627,0,Jun-89,2018-02-21
오도산 자연휴양림 화장실(각 야영데크장 옆 푸세식),N,0,연중무휴,합천군(산림과),7,0,,,7,공중화장실,7,128.0547,0,경상남도 합천군 봉산면 오도산휴양로 398,0,0,35.65925,0,Jan-02,2018-02-21
오도산 자연휴양림 화장실(47번 야영데크장 옆 수세식),N,0,연중무휴,합천군(산림과),2,0,,,2,공중화장실,2,128.0547,0,경상남도 합천군 봉산면 오도산휴양로 398,0,0,35.65925,0,Jan-02,2018-02-21
오도산 자연휴양림 화장실(관리사무소 옆),N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(산림과),2,0,,,2,공중화장실,2,128.0547,0,경상남도 합천군 봉산면 오도산휴양로 398,0,0,35.65925,0,Jan-02,2018-02-21
덕곡복지회관 화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(덕곡면),1,0,,,1,공중화장실,1,128.3223,0,경상남도 합천군 덕곡면 장리4길 16-1,0,0,35.62971,0,Feb-01,2018-02-21
덕곡면사무소 화장실 2,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(덕곡면),1,0,,,1,공중화장실,1,128.3589,0,경상남도 합천군 덕곡면 율지2길 5,0,0,35.61645,0,Dec-90,2018-02-21
덕곡면사무소 화장실 1,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(덕곡면),1,0,,,2,공중화장실,2,128.3589,0,경상남도 합천군 덕곡면 율지2길 5,0,0,35.61645,1,Aug-02,2018-02-21
덕곡보건지소 화장실,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소,2,0,,,3,공중화장실,2,128.3589,0,경상남도 합천군 덕곡면 율지2길 5,0,0,35.61645,1,Nov-96,2018-02-21
대동보건진료소 화장실,Y,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소,0,0,,,1,공중화장실,1,128.3243,0,경상남도 합천군 덕곡면 오광대로 747,0,0,35.62845,0,Dec-84,2018-02-21
